AAA.AS	AP ALTERNAT ASSETS
AALB.AS	AALBERTS INDUSTR
ACCEL.AS	ACCELL GROUP
ACOMO.AS	AMSTERDAM COMMOD.
AGN.AS	AEGON
AJAX.AS	AJAX
AMG.AS	AMG
AND.AS	AND INTERNATIONAL
APAM.AS	APERAM
ARCAD.AS	ARCADIS
ASM.AS	ASM INTERNATIONAL
ASML.AS	ASML HOLDING
ATRS.AS	ATRIUM EUR REALEST
AXS.AS	ACCSYS
BAMNB.AS	BAM GROEP KON
BATEN.AS	BATENBURG BEHEER
BBED.AS	BETER BED
BESI.AS	BE SEMICONDUCTOR
BGHL.AS	BOUSSARD GAVAUDAN
BINCK.AS	BINCKBANK
BOKA.AS	BOSKALIS WESTMIN
BRILL.AS	BRILL KON
BRNL.AS	BRUNEL INTERNAT
CLB.AS
CRBN.AS
CTAC.AS	CTAC
DL.AS	DELTA LLOYD
DOCD.AS	DOC DATA
DPA.AS	DPA GROUP
DSM.AS	DSM KON
DTEL.AS	DEUTSCHE TELEKOM
ECMPA.AS	EUROCOMMERCIAL
ECT.AS	EUROCASTLE INVEST.
ENI.AS	ENI
ESP.AS
FUR.AS	FUGRO
GTO.AS	Gemalto
HAL.AS	HAL TRUST
HDG.AS	HUNTER DOUGLAS
HEIA.AS	HEINEKEN
HEIO.AS	HEINEKEN HOLDING
HOLCO.AS	HOLLAND COLOURS
HYDRA.AS	HYDRATEC
ICT.AS	ICT AUTOMATISERING
IM.AS	IMTECH
IMCD.AS
INGA.AS	ING GROEP
KA.AS	KAS BANK
KARD.AS	KARDAN
KENDR.AS	KENDRION
KPN.AS	KPN KON
LANS.AS	VAN LANSCHOT
LVIDE.AS
MACIN.AS	MACINTOSH RETAIL
MT.AS	ARCELORMITTAL
NBPE.AS	NB PRIV EQ PARTN
NEDAP.AS	NEDAP
ACO.MI	Acotel Group
AMP.MI	Amplifon Spa
ASR.MI	A.s. Roma
BE.MI	Beghelli Spa
BMPS.MI	B M Paschi Siena
BSS.MI	Biesse
BZU.MI	Buzzi Unicem Spa
CAD.MI	Cad It
CAI.MI	Cairo Comunication
CARR.MI	Carraro
CASS.MI	Cattolica Ass
CED.MI	Caltagirone Edit
CHL.MI	Chl
CLE.MI	Class Editori
CMB.MI	Cembre
CPR.MI	Davide Campari
CSP.MI	Csp Int Calze
DA.MI	Dada
DAL.MI	Datalogic
DIB.MI	Digital Bros
DLG.MI	De'longhi
DMA.MI	Dmail
ELN.MI	El En
EM.MI	Emak Spa
ENEL.MI	Enel SpA
ENI.MI	Eni SpA
ERG.MI	Erg
EUE.MI	Ishares Euro STOX50
FDA.MI	Fidia
GE.MI	Gefran Spa
IF.MI	Banca Ifis
IGV.MI	I Grandi Viaggi
IP.MI	Interpump
ITW.MI	It Way Spa
JUVE.MI	Juventus Fc
LDO.MI	La Doria
LUX.MI	Luxottica
MOL.MI	Gruppo MutuiOnline
MS.MI	Mediaset
MTV.MI	Mondo Tv
PAN.MI	Panariagroup Industrie Ceramiche
PRO.MI	Bca Profilo
PRT.MI	Esprinet
PSF.MI	Poligraf.s.faust
REY.MI	Reply
RIC.MI	Gr Cer Ricchetti
RN.MI	Risan Napoli
SAB.MI	Sabaf S.p.a
SNA.MI	Snai Ord Spa
SOL.MI	Sol Spa
SRG.MI	Snam Rete Gas
STM.MI	Stmicroelec NV
TFI.MI	Trevi-fin Indust
TIS.MI	Tiscali
TOD.MI	Tod's
ACS.MC	Acs Cons Y Serv
ALB.MC	Corp Fin Alba
AMP.MC	Amper
ANA.MC	Acciona
BDL.MC	Baron De Ley
BIO.MC	Puleva Biotech
CAF.MC	Cons Aux Ferr
CPL.MC	Cem Portland
ECR.MC	Ercros
ELE.MC	Endesa
ENC.MC	Empresarial Ence
FAE.MC	Faes Farma
FCC.MC	Fomento De Const
FER.MC	Grupo Ferrovial
GAM.MC	Gamesa
GAS.MC	Gas Natural
GCO.MC	Cat Occidente
IBG.MC	Iberpapel
IDR.MC	Indra Sistemas
ITX.MC	Inditex
LGT.MC	Lingotes Esp
MAP.MC	Mapfre
MCM.MC	Miquel Y Costas
MDF.MC	Duro Felguera
NAT.MC	Natra
NEA.MC	Nicolas Correa
NHH.MC	Nh Hoteles
PAC.MC	Pap Y Cart Euro
PRS.MC	Prisa
PSG.MC	Prosegur
REP.MC	Repsol SA
RIO.MC	Bodegas Riojanas
SAB.MC	Bco De Sabadell
SAN.MC	Banco Santander
TUB.MC	Tubacex
UBS.MC	Urbas
URA.MC	Uralita
VID.MC	Vidrala
ZOT.MC	Zardoya Otis
NEDSE.AS	NEDSENSE ENTERPR
NEWAY.AS	NEWAYS ELECTRONICS
NN.AS
NOVI.AS
NSE.AS
NSI.AS
OCI.AS
ORANW.AS	ORANJEWOUD A
ORDI.AS	ORDINA
PBD.AS
PHARM.AS	PHARMING GROUP
PHIA.AS	PHILIPS KON
PNL.AS	POSTNL
PSH.AS
RAND.AS	RANDSTAD
RDSA.AS	ROYAL DUTCH SHELLA
RDSB.AS	ROYAL DUTCH SHELLB
REN.AS	REED ELSEVIER
ROOD.AS	ROODMICROTEC
SBMO.AS	SBM OFFSHORE
SIA.AS	SIEMENS
SLIGR.AS	SLIGRO FOOD GROUP
SNOW.AS
STRN.AS	STERN GROEP
TBIRD.AS
TFA.AS	TELEFONICA
TFG.AS	TETRAGON FIN GRP
TIE.AS	TIE HOLDING
TMG.AS	TELEGRAAF MEDIA GR
TOM2.AS	TOMTOM
TWEKA.AS	TKH GROUP
UL.AS	Unibail-Rodamco SE
UNA.AS	UNILEVER
UNIA.AS	UNILEVER
VALUE.AS	VALUE8
VPK.AS	VOPAK
VTA.AS	VOLTA FINANCE
VWA.AS	VOLKSWAGEN
WES.AS	WESSANEN KON
